file name, mutants, tests, cores, total time, original time, mutants time, mutation score, TS size, lines, algorithm, optimizations
anagram, m60, t100, w2, 8666, 265, 6324, 0.878788, 1370, 37, a5, 001111
add, m12, t100, w2, 1330, 301, 269, 1.100000, 583, 13, a3, 000101
genPassword, m49, t100, w2, 9674, 351, 6907, 1.078947, 398, 63, a2, 010111
primes, m68, t100, w2, 24131, 470, 12841, 0.750000, 398, 30, a5, 010000
factorial, m31, t100, w2, 26819, 267, 25570, 0.967742, 403, 18, a4, 011011
add, m12, t100, w2, 1342, 263, 323, 0.916667, 583, 13, a2, 011001
anagram, m60, t100, w2, 11575, 263, 7763, 0.866667, 1370, 37, a4, 010000
factorial, m31, t100, w2, 26764, 274, 25484, 0.967742, 403, 18, a5, 001010
gcd, m65, t150, w2, 23722, 574, 20759, 0.769231, 1495, 19, a3, 100010
add, m20, t999, w2, 850642288, 4178, 4312, 0.950000, 583, 13, a2, 000000
gcd, m65, t150, w2, 16831, 566, 11430, 0.829787, 1495, 19, a5, 110100
massive, m49, t60, w2, 56774, 9810, 45211, 1.179487, 169, 13, a2, 111110
add, m12, t100, w2, 1022, 268, 292, 1.100000, 583, 13, a3, 001110
factorial, m31, t100, w2, 26995, 279, 25556, 1.304348, 403, 18, a2, 010111
massive, m49, t60, w2, 57104, 9424, 45293, 0.938776, 169, 13, a3, 101001
anagram, m60, t100, w2, 10084, 300, 7829, 0.866667, 1370, 37, a4, 101010
add, m12, t100, w2, 1378, 245, 317, 1.100000, 583, 13, a4, 001100
primes, m68, t100, w2, 38482, 1854, 24553, 1.342105, 398, 30, a4, 101101
gcd, m65, t150, w2, 24437, 637, 20930, 1.063830, 1495, 19, a2, 010110
genPassword, m49, t100, w2, 9423, 281, 7089, 0.836735, 398, 63, a5, 001010
factorial, m31, t100, w2, 26828, 322, 25552, 0.967742, 403, 18, a2, 111011
genPassword, m49, t100, w2, 8161, 446, 5050, 0.810811, 398, 63, a5, 101110
factorial, m31, t100, w2, 11633, 234, 10217, 1.000000, 403, 18, a5, 001110
primes, m68, t100, w2, 27075, 479, 15172, 1.378378, 398, 30, a4, 001100
genPassword, m49, t100, w2, 11491, 433, 7115, 0.836735, 398, 63, a3, 111001
primes, m68, t100, w2, 18383, 1029, 12227, 1.378378, 398, 30, a3, 110110
add, m20, t999, w2, 850856222, 14803, 4494, 0.900000, 583, 13, a5, 101000
anagram, m60, t100, w2, 8965, 312, 6393, 0.878788, 1370, 37, a5, 111111
massive, m49, t60, w2, 57696, 9927, 45005, 1.179487, 169, 13, a3, 101100
gcd, m65, t150, w2, 24721, 595, 21679, 0.769231, 1495, 19, a2, 100011
genPassword, m49, t100, w2, 9688, 245, 7036, 1.078947, 398, 63, a2, 100111
anagram, m60, t100, w2, 10171, 212, 7757, 1.575758, 1370, 37, a4, 001111
primes, m68, t100, w2, 16631, 551, 5111, 0.864865, 398, 30, a5, 001100
genPassword, m49, t100, w2, 10617, 373, 6547, 0.836735, 398, 63, a3, 000000
add, m12, t100, w2, 1346, 296, 273, 0.900000, 583, 13, a5, 100101
factorial, m31, t100, w2, 26811, 289, 25536, 0.967742, 403, 18, a5, 100010
add, m12, t100, w2, 1040, 297, 280, 1.100000, 583, 13, a2, 110110
add, m12, t100, w2, 1043, 256, 305, 1.100000, 583, 13, a4, 010110
