file name, mutants, tests, cores, total time, original time, mutants time, mutation score, TS size, lines, algorithm, optimizations
massive, m49, t60, w2, 46160, 10051, 34735, 0.959184, 169, 13, a4, 110010
factorial, m31, t100, w2, 27813, 258, 25544, 1.363636, 403, 18, a3, 000100
factorial, m31, t100, w2, 26763, 295, 25491, 0.967742, 403, 18, a3, 101011
primes, m68, t100, w2, 45005, 503, 32893, 1.378378, 398, 30, a4, 110100
massive, m49, t60, w2, 56020, 9730, 44706, 1.533333, 169, 13, a2, 010111
add, m12, t100, w2, 950, 240, 321, 0.916667, 583, 13, a4, 000010
genPassword, m49, t100, w2, 9874, 329, 5224, 0.810811, 398, 63, a5, 010100
massive, m49, t60, w2, 57271, 9768, 44909, 1.566667, 169, 13, a4, 001101
primes, m68, t100, w2, 40568, 462, 29155, 1.342105, 398, 30, a4, 001101
primes, m68, t100, w2, 37408, 537, 24888, 1.378378, 398, 30, a4, 010100
anagram, m60, t100, w2, 10206, 340, 7670, 1.625000, 1370, 37, a2, 111110
anagram, m60, t100, w2, 10005, 292, 7753, 0.866667, 1370, 37, a4, 100011
massive, m49, t60, w2, 56802, 9840, 45207, 1.179487, 169, 13, a3, 101110
factorial, m31, t100, w2, 12555, 259, 10200, 1.000000, 403, 18, a5, 001100
genPassword, m49, t100, w2, 9867, 444, 7002, 1.078947, 398, 63, a4, 101111
add, m12, t100, w2, 1409, 306, 313, 1.100000, 583, 13, a2, 001101
massive, m49, t60, w2, 52981, 9797, 40474, 0.933333, 169, 13, a5, 101101
factorial, m31, t100, w2, 27780, 299, 25728, 0.967742, 403, 18, a5, 110000
genPassword, m49, t100, w2, 11327, 356, 6798, 1.078947, 398, 63, a3, 011101
genPassword, m49, t100, w2, 9428, 393, 6898, 0.836735, 398, 63, a2, 000010
genPassword, m49, t100, w2, 9589, 398, 7132, 0.836735, 398, 63, a4, 000011
genPassword, m49, t100, w2, 9814, 418, 5035, 0.810811, 398, 63, a5, 111100
add, m20, t999, w2, 851147576, 15634, 15793, 1.727273, 583, 13, a4, 110101
primes, m68, t100, w2, 23710, 314, 12635, 0.750000, 398, 30, a5, 000001
factorial, m31, t100, w2, 26790, 251, 25584, 0.967742, 403, 18, a2, 010011
gcd, m65, t150, w2, 24665, 422, 21509, 1.041667, 1495, 19, a3, 001111
anagram, m60, t100, w2, 10203, 279, 7731, 1.575758, 1370, 37, a3, 100111
gcd, m65, t150, w2, 24596, 701, 21569, 0.769231, 1495, 19, a2, 111011
anagram, m60, t100, w2, 10210, 282, 7732, 1.575758, 1370, 37, a3, 101111
anagram, m60, t100, w2, 11309, 271, 7524, 0.866667, 1370, 37, a2, 001000
factorial, m31, t100, w2, 11899, 261, 10525, 0.956522, 403, 18, a5, 000111
factorial, m31, t100, w2, 26882, 350, 25577, 0.967742, 403, 18, a2, 110011
genPassword, m49, t100, w2, 9509, 419, 6967, 0.836735, 398, 63, a4, 110010
factorial, m31, t100, w2, 12477, 333, 10166, 1.000000, 403, 18, a5, 011100
gcd, m65, t150, w2, 23708, 606, 20807, 0.769231, 1495, 19, a3, 010010
factorial, m31, t100, w2, 27187, 306, 25890, 0.967742, 403, 18, a5, 110011
gcd, m65, t150, w2, 26952, 469, 22082, 0.769231, 1495, 19, a5, 001001
gcd, m65, t150, w2, 25103, 717, 21519, 1.063830, 1495, 19, a4, 100110
gcd, m65, t150, w2, 25548, 570, 22262, 1.041667, 1495, 19, a4, 010111
factorial, m31, t100, w2, 27736, 274, 25489, 1.304348, 403, 18, a4, 011101
add, m20, t999, w2, 850792160, 4220, 15320, 0.950000, 583, 13, a4, 001000
add, m12, t100, w2, 1396, 282, 291, 1.100000, 583, 13, a4, 010101
gcd, m65, t150, w2, 27027, 625, 22120, 0.769231, 1495, 19, a5, 100001
