maxArrSumNeg, m37, t50, w4, 916, 50, 6968, 7969, 186.6518, 0.9358, 1910, 63, a3, 100111
squareMatrix, m60, t50, w4, 1573, 147, 7800, 9449, 128.5714, 1.0, 903, 72, a4, 011011
parg, m836, t52, w4, 142585, 172, 2754, 145602, 3.2937, 1.0, 418, 2518, a4, 000011
parg, m836, t52, w8, 145036, 96, 272, 145542, 0.3252, 1.0, 418, 2518, a2, 001010
factorial, m15, t100, w8, 252, 38, 2544, 2923, 164.1613, 0.9677, 403, 18, a2, 101110
factorial, m62, t100, w2, 1528, 312, 39190, 41778, 632.0968, 0.9677, 403, 18, a4, 000111
parg, m836, t52, w4, 142065, 171, 876, 143199, 1.0478, 1.0, 418, 2518, a5, 001010
dictionaryOrder, m142, t100, w2, 3886, 313, 67242, 72748, 473.5352, 0.9265, 8248, 32, a3, 110110
mergeSort, m75, t50, w4, 2281, 53, 7619, 9949, 101.146, 0.9336, 1900, 129, a3, 100011
transpose, m298, t50, w4, 7430, 151, 41962, 49868, 140.8121, 0.8993, 903, 40, a5, 011010
longestIncrease, m228, t50, w2, 9704, 9600, 265644, 296002, 1165.1053, 0.9196, 1946, 70, a4, 110110
parg, m1254, t52, w4, 215826, 167, 1260, 218970, 1.0044, 1.0, 418, 2518, a2, 001111
transpose, m298, t50, w2, 11632, 159, 124480, 136614, 417.7181, 0.8993, 903, 40, a5, 101011
transpose, m74, t50, w2, 2932, 158, 31136, 34191, 417.9396, 0.8993, 903, 40, a4, 101010
factorial, m15, t100, w2, 392, 318, 9798, 10454, 632.129, 0.9677, 403, 18, a3, 001111
selectSort, m184, t50, w2, 6212, 163, 80358, 87592, 436.7283, 0.9101, 1900, 45, a2, 001111
anagram, m30, t100, w2, 791, 321, 3980, 5150, 132.6667, 0.8667, 1370, 37, a4, 111110
longestIncrease, m38, t50, w4, 1061, 3456, 16221, 18465, 426.8684, 0.9035, 1946, 70, a3, 110010
mergeSort, m452, t50, w2, 20600, 163, 136088, 159728, 301.0796, 0.9336, 1900, 129, a4, 111110
genPassword, m16, t100, w2, 499, 313, 1841, 2466, 112.7551, 0.8367, 398, 63, a5, 000010
selectSort, m184, t50, w4, 3974, 51, 30018, 34736, 163.1413, 0.9101, 1900, 45, a3, 110111
squareMatrix, m60, t50, w4, 1585, 143, 7646, 9441, 126.0385, 1.0, 903, 72, a5, 001111
anagram, m20, t100, w2, 530, 314, 2710, 3366, 135.5, 0.8667, 1370, 37, a2, 010010
insertSort, m36, t50, w8, 794, 139, 2112, 2977, 58.6667, 0.9444, 1900, 40, a2, 000011
anagram, m20, t100, w2, 538, 320, 2716, 3378, 135.8, 0.8667, 1370, 37, a4, 100011
squareMatrix, m91, t50, w4, 2318, 50, 11574, 13958, 127.1923, 1.0, 903, 72, a5, 100011
mergeSort, m75, t50, w4, 2268, 51, 7625, 9944, 101.2212, 0.9336, 1900, 129, a5, 100010
transpose, m49, t50, w4, 1238, 151, 6993, 8311, 140.8121, 0.8993, 903, 40, a5, 011010
insertSort, m216, t50, w4, 4752, 52, 24674, 29674, 114.2315, 0.9444, 1900, 40, a2, 100010
factorial, m62, t100, w2, 1554, 314, 39160, 41460, 631.6129, 0.9677, 403, 18, a2, 010010
factorial, m15, t100, w8, 242, 40, 2539, 2872, 163.8065, 0.9677, 403, 18, a3, 110111
bubbleSort, m37, t50, w2, 2463, 167, 71786, 74584, 1905.8407, 0.9182, 1900, 41, a2, 000100
parg, m836, t52, w2, 142965, 176, 2908, 149479, 3.4779, 1.0, 418, 2518, a3, 101111
insertSort, m36, t50, w4, 780, 159, 4118, 4975, 114.3889, 0.9444, 1900, 40, a2, 011010
parg, m836, t52, w2, 144073, 170, 2814, 147143, 3.3647, 1.0, 418, 2518, a4, 001011
parg, m1254, t52, w4, 214191, 175, 1275, 216962, 1.0167, 1.0, 418, 2518, a2, 000111
anagram, m30, t100, w2, 800, 327, 4066, 5058, 135.55, 0.8667, 1370, 37, a2, 101011
factorial, m15, t100, w2, 793, 324, 9782, 10766, 631.129, 0.9677, 403, 18, a3, 101000
quickSort, m254, t50, w8, 9162, 20, 30012, 40600, 118.1575, 0.9603, 1900, 56, a3, 100110
squareMatrix, m91, t50, w4, 2342, 49, 11289, 13878, 124.0549, 1.0, 903, 72, a5, 110111
dictionaryOrder, m35, t100, w2, 966, 325, 17091, 18385, 481.4507, 0.9265, 8248, 32, a2, 000111
factorial, m15, t100, w4, 261, 296, 3519, 3960, 227.0323, 0.9677, 403, 18, a2, 001010
parg, m1254, t52, w4, 213016, 158, 1284, 214684, 1.0239, 1.0, 418, 2518, a2, 011011
transpose, m49, t50, w2, 1936, 154, 20774, 22790, 418.2819, 0.8993, 903, 40, a4, 110010
maxArrSumNeg, m37, t50, w8, 894, 147, 3374, 4362, 90.3839, 0.9358, 1910, 63, a3, 000111
factorial, m62, t100, w8, 1034, 290, 10156, 11900, 163.8065, 0.9677, 403, 18, a2, 001011
factorial, m15, t100, w2, 383, 322, 9762, 10438, 629.8065, 0.9677, 403, 18, a4, 010110
parg, m836, t52, w4, 142298, 174, 859, 148482, 1.0275, 1.0, 418, 2518, a2, 011110
mergeSort, m452, t50, w2, 20514, 162, 136996, 159270, 303.0885, 0.9336, 1900, 129, a4, 000111
mergeSort, m113, t50, w4, 3382, 51, 11397, 15464, 100.8584, 0.9336, 1900, 129, a3, 100110
mergeSort, m452, t50, w8, 13876, 146, 21070, 35418, 46.615, 0.9336, 1900, 129, a2, 000010
longestIncrease, m57, t50, w2, 2430, 9494, 64916, 72375, 1138.886, 0.9196, 1946, 70, a2, 110111
squareMatrix, m60, t50, w4, 1543, 50, 7704, 9407, 126.989, 1.0, 903, 72, a2, 101111
parg, m5018, t52, w4, 855036, 164, 5162, 861798, 1.0287, 1.0, 418, 2518, a3, 011010
parg, m1254, t52, w8, 219885, 136, 408, 225578, 0.3256, 1.0, 418, 2518, a3, 000110
insertSort, m36, t50, w4, 804, 154, 4090, 4968, 113.6111, 0.9444, 1900, 40, a4, 011010
squareMatrix, m60, t50, w2, 2342, 159, 18529, 21177, 305.4231, 1.0, 903, 72, a5, 110111
huffmanCodingEff, m99, t50, w2, 7390, 168, 20265, 28101, 203.6734, 0.849, 1874, 239, a2, 011111
parg, m5018, t52, w8, 872726, 124, 1650, 897312, 0.3288, 1.0, 418, 2518, a3, 010110
squareMatrix, m60, t50, w4, 1623, 145, 7778, 9478, 128.2143, 1.0, 903, 72, a3, 001011
quickSort, m42, t50, w4, 1502, 48, 9295, 10928, 219.5827, 0.9603, 1900, 56, a2, 111111
mergeSort, m452, t50, w2, 20496, 161, 137046, 158050, 303.1991, 0.9336, 1900, 129, a4, 010010
parg, m5018, t52, w2, 858402, 173, 17534, 897774, 3.4942, 1.0, 418, 2518, a2, 110111
minProd, m60, t50, w4, 1480, 48, 1915, 3437, 31.7459, 0.7845, 1946, 72, a5, 110010
insertSort, m36, t50, w8, 785, 149, 2117, 3015, 58.8241, 0.9444, 1900, 40, a2, 010111
add, m24, t100, w2, 560, 312, 796, 2106, 33.1667, 0.9167, 583, 13, a2, 111010
mergeSort, m113, t50, w4, 3376, 50, 11408, 14856, 100.9602, 0.9336, 1900, 129, a3, 110010
add, m6, t100, w2, 140, 311, 207, 531, 34.5, 0.9167, 583, 13, a2, 001010
minProd, m90, t50, w8, 2246, 128, 2515, 4915, 27.7956, 0.8659, 1946, 72, a3, 011111
factorial, m15, t100, w2, 785, 312, 9763, 10736, 629.871, 0.9677, 403, 18, a2, 011000
longestIncrease, m38, t50, w2, 1630, 9872, 44750, 49914, 1177.6404, 0.9196, 1946, 70, a3, 010110
dictionaryOrder, m35, t100, w8, 582, 39, 2501, 3302, 70.4507, 0.9265, 8248, 32, a2, 110110
parg, m836, t52, w4, 142011, 158, 856, 143122, 1.0239, 1.0, 418, 2518, a2, 011011
huffmanCoding, m157, t50, w4, 8957, 51, 17167, 26239, 109.3439, 0.9013, 1874, 318, a2, 101011
anagram, m120, t100, w2, 3188, 308, 16160, 20090, 134.6667, 0.8667, 1370, 37, a3, 100010
factorial, m10, t100, w8, 171, 249, 1694, 1980, 164, 0.9677, 403, 18, a2, 010111
insertSort, m54, t50, w8, 1193, 20, 3172, 4414, 58.75, 0.9444, 1900, 40, a2, 100011
parg, m5018, t52, w4, 855774, 172, 5266, 862598, 1.0494, 1.0, 418, 2518, a5, 000010
insertSort, m216, t50, w8, 4670, 21, 12668, 17524, 58.6481, 0.9444, 1900, 40, a2, 110010
parg, m836, t52, w8, 145530, 107, 270, 146040, 0.3228, 1.0, 418, 2518, a5, 001010
parg, m5018, t52, w4, 856374, 165, 1632, 865500, 0.3252, 1.0, 418, 2518, a5, 001111
factorial, m62, t100, w2, 1578, 328, 39120, 41472, 630.9677, 0.9677, 403, 18, a2, 110010
parg, m5018, t52, w8, 880682, 97, 3046, 887348, 0.607, 1.0, 418, 2518, a4, 001111
squareMatrix, m91, t50, w2, 3613, 159, 28027, 32115, 307.9945, 1.0, 903, 72, a5, 001111
transpose, m49, t50, w4, 1238, 153, 6972, 8292, 140.3826, 0.8993, 903, 40, a3, 001010
longestIncrease, m38, t50, w4, 1043, 3475, 17108, 19344, 450.2281, 0.9035, 1946, 70, a3, 111010
anagram, m30, t100, w2, 790, 310, 4044, 5020, 134.8167, 0.8667, 1370, 37, a2, 000011
factorial, m62, t100, w8, 998, 38, 10158, 11344, 163.8387, 0.9677, 403, 18, a2, 101010
parg, m5018, t52, w2, 860160, 175, 17566, 879232, 3.5006, 1.0, 418, 2518, a3, 111010
add, m24, t100, w2, 576, 318, 768, 2088, 32, 0.9167, 583, 13, a2, 011011
transpose, m298, t50, w2, 11694, 158, 124660, 136848, 418.3221, 0.8993, 903, 40, a2, 101011
huffmanCodingEff, m99, t50, w2, 7755, 158, 20459, 28904, 205.6231, 0.849, 1874, 239, a2, 100110
factorial, m15, t100, w2, 797, 325, 9776, 10763, 630.7097, 0.9677, 403, 18, a3, 111001
mergeSort, m75, t50, w4, 2274, 52, 7614, 9938, 101.0796, 0.9336, 1900, 129, a5, 100011
squareMatrix, m91, t50, w8, 2389, 23, 5174, 7616, 56.8571, 1.0, 903, 72, a3, 101011
factorial, m62, t100, w2, 1494, 320, 39218, 41474, 632.5484, 0.9677, 403, 18, a4, 111010
bubbleSort, m56, t50, w2, 3719, 161, 107954, 111998, 1910.6991, 0.9182, 1900, 41, a3, 101101
primes, m22, t100, w2, 598, 317, 2399, 3186, 105.8382, 0.8793, 398, 30, a3, 111111
factorial, m62, t100, w4, 1018, 100, 14074, 15798, 227, 0.9677, 403, 18, a3, 110110
mergeSort, m452, t50, w2, 20382, 160, 136242, 159578, 301.4204, 0.9336, 1900, 129, a3, 100110
huffmanCoding, m157, t50, w4, 9029, 154, 17198, 26392, 109.5446, 0.9013, 1874, 318, a4, 001011
factorial, m62, t100, w2, 1602, 327, 39806, 42194, 642.0323, 0.9677, 403, 18, a5, 110011
minProd, m60, t50, w2, 2211, 158, 5280, 7906, 87.5193, 0.8659, 1946, 72, a2, 100110
add, m4, t100, w2, 91, 329, 136, 355, 34, 0.9167, 583, 13, a2, 011010
factorial, m15, t100, w2, 797, 330, 9803, 10797, 632.4839, 0.9677, 403, 18, a2, 111000
selectSort, m184, t50, w4, 4024, 51, 30016, 35304, 163.1304, 0.9101, 1900, 45, a2, 111110
factorial, m10, t100, w2, 260, 328, 6514, 6969, 630.3871, 0.9677, 403, 18, a4, 100110
factorial, m62, t100, w2, 1606, 323, 39060, 41826, 630, 0.9677, 403, 18, a3, 110110
parg, m1254, t52, w4, 213365, 174, 1278, 222665, 1.0191, 1.0, 418, 2518, a3, 011110
minProd, m60, t50, w2, 2197, 162, 5278, 7712, 87.4862, 0.8659, 1946, 72, a2, 001111
selectSort, m184, t50, w4, 4010, 145, 30016, 35468, 163.1304, 0.9101, 1900, 45, a3, 010110
mergeSort, m113, t50, w2, 5080, 159, 34049, 39543, 301.3186, 0.9336, 1900, 129, a2, 101111
mergeSort, m113, t50, w2, 5061, 158, 34079, 39267, 301.5885, 0.9336, 1900, 129, a3, 000010
huffmanCoding, m104, t50, w4, 5949, 156, 11445, 17505, 109.3503, 0.9013, 1874, 318, a5, 000011
factorial, m15, t100, w2, 389, 319, 9775, 10354, 630.6452, 0.9677, 403, 18, a2, 101010
insertSort, m54, t50, w4, 1195, 150, 6198, 7504, 114.787, 0.9444, 1900, 40, a3, 010011
anagram, m30, t100, w8, 508, 281, 2501, 3202, 83.3667, 0.9286, 1370, 37, a2, 011111
factorial, m10, t100, w4, 171, 99, 2347, 2568, 227.129, 0.9677, 403, 18, a3, 111010
selectSort, m46, t50, w4, 1017, 50, 7504, 8828, 163.1304, 0.9101, 1900, 45, a3, 100110
parg, m1254, t52, w4, 213531, 168, 1281, 215203, 1.0211, 1.0, 418, 2518, a3, 010011
huffmanCoding, m157, t50, w8, 9381, 139, 7642, 17868, 48.6783, 0.9279, 1874, 318, a2, 001110
squareMatrix, m91, t50, w4, 2335, 52, 11559, 13958, 127.022, 1.0, 903, 72, a5, 100010
primes, m22, t100, w2, 591, 322, 2381, 3190, 105.0588, 0.8793, 398, 30, a2, 010111
mergeSort, m452, t50, w2, 20584, 161, 136608, 157700, 302.2301, 0.9336, 1900, 129, a4, 100010
mergeSort, m452, t50, w2, 20426, 165, 136496, 158672, 301.9823, 0.9336, 1900, 129, a2, 100111
squareMatrix, m60, t50, w4, 1568, 143, 7654, 9407, 126.1758, 1.0, 903, 72, a5, 011111
bubbleSort, m37, t50, w2, 1236, 162, 71207, 72768, 1890.469, 0.9182, 1900, 41, a3, 011110
factorial, m15, t100, w4, 258, 101, 3522, 3860, 227.2258, 0.9677, 403, 18, a2, 100010
huffmanCodingEff, m398, t50, w4, 19710, 152, 27582, 50108, 69.3015, 0.849, 1874, 239, a2, 011110
factorial, m62, t100, w2, 1558, 322, 39068, 41806, 630.129, 0.9677, 403, 18, a3, 101110
parg, m5018, t52, w4, 850940, 56, 16648, 875134, 3.3177, 1.0, 418, 2518, a4, 110111
anagram, m30, t100, w2, 805, 316, 3982, 5105, 132.7333, 0.8667, 1370, 37, a4, 001111
factorial, m15, t100, w4, 247, 98, 3521, 3890, 227.1613, 0.9677, 403, 18, a3, 100111
