huffmanCodingEff, m199, t50, w8, 10778, 23, 6070, 17478, 30.5025, 0.849, 1874, 239, a3, 101111
bubbleSort, m113, t50, w2, 7302, 158, 213284, 221529, 1887.469, 0.9182, 1900, 41, a3, 011100
factorial, m31, t100, w2, 789, 328, 19560, 20736, 630.9677, 0.9677, 403, 18, a2, 110010
huffmanCodingEff, m199, t50, w8, 10211, 136, 6035, 17333, 30.3266, 0.849, 1874, 239, a3, 000110
parg, m2509, t52, w8, 435303, 143, 820, 436882, 0.3268, 1.0, 418, 2518, a2, 011011
mergeSort, m226, t50, w2, 10183, 163, 68283, 79970, 302.1372, 0.9336, 1900, 129, a2, 100110
mergeSort, m226, t50, w2, 10160, 159, 68098, 79087, 301.3186, 0.9336, 1900, 129, a2, 101111
transpose, m149, t50, w8, 3794, 148, 10123, 14792, 67.9396, 0.9054, 903, 40, a3, 001110
transpose, m149, t50, w2, 5797, 158, 62343, 68383, 418.4094, 0.8993, 903, 40, a2, 101010
insertSort, m108, t50, w8, 2335, 21, 6334, 8762, 58.6481, 0.9444, 1900, 40, a2, 110010
anagram, m60, t100, w8, 1021, 40, 5002, 6175, 83.3667, 0.9286, 1370, 37, a2, 100111
factorial, m31, t100, w2, 796, 319, 19592, 20890, 632, 0.9677, 403, 18, a4, 011111
mergeSort, m226, t50, w8, 7188, 153, 10616, 18058, 46.9735, 0.9336, 1900, 129, a3, 000010
huffmanCodingEff, m199, t50, w4, 10348, 48, 13767, 24658, 69.1809, 0.849, 1874, 239, a2, 100111
squareMatrix, m182, t50, w4, 4885, 136, 23422, 28535, 128.6923, 1.0, 903, 72, a3, 010011
parg, m2509, t52, w2, 438737, 172, 8698, 458005, 3.4667, 1.0, 418, 2518, a3, 010111
longestIncrease, m114, t50, w4, 3165, 3446, 50048, 56759, 439.0175, 0.9035, 1946, 70, a5, 110010
insertSort, m108, t50, w2, 3645, 160, 24588, 28762, 227.6667, 0.92, 1900, 40, a5, 001111
anagram, m60, t100, w4, 1005, 100, 5002, 6252, 83.3667, 0.9286, 1370, 37, a2, 100111
