accuracy, 0, 5, 10, 15, 20, 25
0, 0, 0.7564, 0.8582, 0.7642, 0.8314, 0.7458
5, 0, 0.9091, 0.9416, 0.9415, 0.9588, 0.9351
10, 0, 0.7818, 0.933, 0.9432, 0.9525, 0.942
15, 0, 0.7358, 0.9559, 0.9466, 0.9525, 0.9469
20, 0, 0.6509, 0.8985, 0.9269, 0.9612, 0.9239
25, 0, 0.663, 0.7835, 0.9088, 0.9549, 0.9714
