file name, mutants, tests, cores, compilation time, original time, mutants time, total time, time per mutant, mutation score, ts size, lines, algorithm, optimizations
parg, m2509, t52, w4, 427756, 172, 8264, 436806, 3.2937, 1.0, 418, 2518, a4, 000011
transpose, m149, t50, w8, 4020, 22, 20012, 24602, 134.3087, 0.8993, 903, 40, a4, 111111
factorial, m31, t100, w2, 767, 322, 19524, 20876, 629.8065, 0.9677, 403, 18, a4, 010110
parg, m2509, t52, w2, 523987, 174, 8529, 533280, 3.3994, 1.0, 418, 2518, a4, 101001
massive, m49, t60, w8, 1678, 19153, 114329, 135213, 2333.2449, 0.9388, 169, 13, a5, 100001
mergeSort, m226, t50, w4, 20383, 150, 22972, 43599, 101.646, 0.9336, 1900, 129, a3, 001001
anagram, m60, t100, w8, 3061, 297, 5229, 8650, 87.15, 0.8667, 1370, 37, a2, 001001
mergeSort, m226, t50, w8, 20777, 21, 11891, 32896, 52.615, 0.908, 1900, 129, a5, 101101
huffmanCodingEff, m199, t50, w4, 10197, 49, 11047, 22508, 55.5126, 0.8092, 1874, 239, a5, 101110
massive, m49, t60, w4, 676, 38378, 124738, 163839, 2545.6735, 0.9388, 169, 13, a5, 101011
longestIncrease, m114, t50, w8, 10049, 10347, 23212, 44140, 203.614, 0.9035, 1946, 70, a4, 001100
maxArrSumNeg, m112, t50, w8, 7856, 20, 11031, 18985, 98.4911, 0.9107, 1910, 63, a3, 100001
huffmanCoding, m314, t50, w4, 17992, 164, 34423, 52764, 109.6274, 0.9013, 1874, 318, a4, 001010
massive, m49, t60, w8, 1701, 114653, 75326, 191738, 1537.2653, 0.9388, 169, 13, a4, 011001
insertSort, m108, t50, w8, 7255, 143, 11282, 18755, 104.463, 0.9444, 1900, 40, a4, 011001
squareMatrix, m182, t50, w2, 7024, 156, 68763, 77075, 377.8187, 1.0, 903, 72, a3, 000110
bubbleSort, m113, t50, w2, 7441, 167, 147659, 155763, 1306.7168, 0.8696, 1900, 41, a5, 101101
parg, m2509, t52, w4, 536368, 170, 8231, 558618, 3.2806, 1.0, 418, 2518, a4, 000100
longestIncrease, m114, t50, w4, 3230, 10223, 57906, 71454, 507.9474, 0.9035, 1946, 70, a4, 000011
dictionaryOrder, m71, t100, w8, 3494, 278, 10004, 13842, 140.9014, 0.8873, 8248, 32, a4, 011000
anagram, m60, t100, w2, 3221, 323, 8133, 11738, 135.55, 0.8667, 1370, 37, a5, 101000
quickSort, m127, t50, w8, 13953, 20, 15005, 29560, 118.1496, 0.9603, 1900, 56, a2, 111100
transpose, m149, t50, w4, 3808, 48, 16755, 21463, 112.4497, 0.8667, 903, 40, a5, 100110
longestIncrease, m114, t50, w8, 3361, 10484, 24972, 38913, 219.0526, 0.9035, 1946, 70, a5, 001010
parg, m2509, t52, w8, 435036, 20, 816, 437620, 0.3252, 1.0, 418, 2518, a2, 110111
factorial, m31, t100, w4, 503, 301, 7381, 8327, 238.0968, 0.9565, 403, 18, a5, 010111
huffmanCodingEff, m199, t50, w8, 32171, 24, 15007, 48155, 75.4121, 0.8191, 1874, 239, a4, 101100
longestIncrease, m114, t50, w8, 3262, 10412, 22810, 36759, 200.0877, 0.9035, 1946, 70, a4, 001111
squareMatrix, m182, t50, w8, 4746, 26, 14447, 19308, 79.3791, 1.0, 903, 72, a5, 110010
huffmanCodingEff, m199, t50, w8, 10262, 129, 6013, 17434, 30.2161, 0.849, 1874, 239, a2, 000110
squareMatrix, m182, t50, w8, 14466, 138, 10321, 25013, 56.7088, 1.0, 903, 72, a3, 000001
bubbleSort, m113, t50, w2, 8003, 157, 219807, 228496, 1945.1947, 0.8938, 1900, 41, a4, 101101
squareMatrix, m182, t50, w8, 14376, 21, 15007, 30126, 82.456, 1.0, 903, 72, a5, 100100
massive, m49, t60, w4, 643, 38263, 124400, 163632, 2538.7755, 0.9388, 169, 13, a3, 111110
mergeSort, m226, t50, w2, 20412, 167, 68161, 88831, 301.5973, 0.9336, 1900, 129, a4, 010000
squareMatrix, m182, t50, w4, 13941, 50, 23101, 37174, 126.9286, 1.0, 903, 72, a2, 101001
mergeSort, m226, t50, w8, 6929, 132, 10619, 17783, 46.9867, 0.9336, 1900, 129, a3, 000010
longestIncrease, m114, t50, w8, 3307, 10579, 25114, 39581, 220.2982, 0.9196, 1946, 70, a3, 001110
huffmanCodingEff, m199, t50, w8, 32164, 22, 6055, 38418, 30.4271, 0.8191, 1874, 239, a3, 101000
huffmanCoding, m314, t50, w8, 58296, 142, 15385, 74014, 48.9968, 0.9013, 1874, 318, a2, 000001
longestIncrease, m114, t50, w4, 3210, 3471, 50518, 57919, 443.1404, 0.9196, 1946, 70, a2, 111110
minProd, m181, t50, w8, 13122, 23, 6858, 20083, 37.8895, 0.7845, 1946, 72, a4, 111001
squareMatrix, m182, t50, w2, 14256, 156, 68716, 83212, 377.5604, 1.0, 903, 72, a4, 110001
anagram, m60, t100, w8, 1011, 276, 5002, 6356, 83.3667, 0.8667, 1370, 37, a3, 010010
factorial, m31, t100, w4, 501, 314, 7427, 8502, 239.5806, 0.9565, 403, 18, a5, 001110
longestIncrease, m114, t50, w4, 9813, 3442, 56496, 69843, 495.5789, 0.9035, 1946, 70, a4, 110000
huffmanCoding, m314, t50, w2, 26476, 163, 101149, 128961, 322.1306, 0.9279, 1874, 318, a3, 111111
quickSort, m127, t50, w8, 14294, 22, 15006, 29503, 118.1575, 0.9603, 1900, 56, a3, 101101
quickSort, m127, t50, w8, 4756, 136, 15006, 20171, 118.1575, 0.9603, 1900, 56, a2, 010111
maxArrSumNeg, m112, t50, w2, 7751, 160, 51040, 59337, 455.7143, 0.9079, 1910, 63, a5, 000101
mergeSort, m226, t50, w8, 20741, 22, 11873, 32840, 52.5354, 0.908, 1900, 129, a5, 100101
primes, m68, t100, w2, 3563, 316, 7205, 11143, 105.9559, 0.75, 398, 30, a2, 111001
longestIncrease, m114, t50, w2, 9897, 9401, 108764, 128791, 954.0702, 0.8902, 1946, 70, a5, 010100
factorial, m31, t100, w8, 494, 40, 7069, 7706, 228.0323, 0.9565, 403, 18, a5, 100111
longestIncrease, m114, t50, w8, 3195, 2253, 24654, 30496, 216.2632, 0.9196, 1946, 70, a2, 110111
factorial, m31, t100, w2, 801, 331, 19609, 20909, 632.5484, 0.9677, 403, 18, a2, 000111
selectSort, m92, t50, w8, 2067, 20, 10005, 12240, 108.75, 0.873, 1900, 45, a5, 101111
massive, m49, t60, w2, 997, 109858, 341390, 452572, 6967.1429, 0.9388, 169, 13, a3, 000110
quickSort, m127, t50, w4, 13324, 50, 46639, 60270, 367.2362, 0.9528, 1900, 56, a4, 111101
minProd, m181, t50, w8, 4507, 135, 9311, 14040, 51.442, 0.7845, 1946, 72, a4, 000010
squareMatrix, m182, t50, w2, 7213, 159, 69642, 77103, 382.6484, 1.0, 903, 72, a4, 010011
anagram, m60, t100, w8, 3041, 284, 5001, 8634, 83.35, 0.9286, 1370, 37, a3, 001100
huffmanCodingEff, m199, t50, w4, 29529, 159, 13802, 43645, 69.3568, 0.8191, 1874, 239, a4, 001001
bubbleSort, m113, t50, w2, 7283, 166, 215569, 223524, 1907.6903, 0.9182, 1900, 41, a2, 110101
squareMatrix, m182, t50, w2, 14114, 158, 55570, 70942, 305.3297, 1.0, 903, 72, a5, 101100
bubbleSort, m113, t50, w8, 2538, 139, 70335, 73152, 622.4336, 0.8696, 1900, 41, a5, 000111
transpose, m149, t50, w8, 12045, 142, 10126, 22470, 67.9597, 0.9054, 903, 40, a2, 010101
primes, m68, t100, w8, 1130, 39, 927, 2461, 13.6324, 0.8793, 398, 30, a4, 110110
squareMatrix, m182, t50, w2, 7100, 158, 56262, 64217, 309.1319, 1.0, 903, 72, a5, 011111
mergeSort, m226, t50, w8, 7029, 21, 10553, 17814, 46.6947, 0.9336, 1900, 129, a3, 101111
primes, m68, t100, w8, 3266, 235, 5409, 9013, 79.5441, 0.8333, 398, 30, a5, 010101
transpose, m149, t50, w4, 11749, 53, 20743, 32804, 139.2148, 0.9054, 903, 40, a2, 111101
quickSort, m127, t50, w2, 6775, 161, 86851, 93899, 683.8661, 0.9528, 1900, 56, a2, 111011
add, m12, t100, w8, 588, 267, 236, 1208, 19.6667, 0.9, 583, 13, a5, 010100
huffmanCodingEff, m199, t50, w8, 31394, 148, 6145, 37847, 30.8794, 0.8191, 1874, 239, a4, 011001
huffmanCoding, m314, t50, w8, 55980, 21, 15311, 71614, 48.7611, 0.9279, 1874, 318, a2, 111101
massive, m49, t60, w2, 995, 110717, 345017, 456775, 7041.1633, 0.9388, 169, 13, a3, 101011
anagram, m60, t100, w8, 1017, 44, 5002, 6395, 83.3667, 0.9286, 1370, 37, a2, 110110
longestIncrease, m114, t50, w2, 4857, 9769, 134877, 150098, 1183.1316, 0.9035, 1946, 70, a4, 101111
parg, m2509, t52, w4, 426687, 165, 2658, 445035, 1.0594, 1.0, 418, 2518, a5, 011110
parg, m2509, t52, w2, 437891, 178, 8581, 447241, 3.4201, 1.0, 418, 2518, a5, 010010
genPassword, m49, t100, w2, 2963, 321, 5529, 9185, 112.8367, 0.8367, 398, 63, a2, 010100
primes, m68, t100, w2, 3596, 315, 7204, 11401, 105.9412, 0.8793, 398, 30, a3, 000101
bubbleSort, m113, t50, w4, 2457, 49, 74666, 77407, 660.7611, 0.8696, 1900, 41, a5, 110111
massive, m49, t60, w4, 616, 38259, 124338, 163535, 2537.5102, 0.9388, 169, 13, a2, 100110
minProd, m181, t50, w4, 13127, 49, 10625, 23880, 58.7017, 0.7845, 1946, 72, a4, 110000
insertSort, m108, t50, w4, 7097, 145, 12322, 20240, 114.0926, 0.9444, 1900, 40, a3, 000100
maxArrSumNeg, m112, t50, w4, 2668, 49, 20813, 23607, 185.8304, 0.9107, 1910, 63, a5, 100010
insertSort, m108, t50, w8, 7023, 128, 9361, 16589, 86.6759, 0.9444, 1900, 40, a5, 011001
quickSort, m127, t50, w4, 4510, 154, 31061, 35832, 244.5748, 0.9528, 1900, 56, a3, 010011
huffmanCoding, m314, t50, w8, 58195, 138, 99358, 157874, 316.4268, 0.9013, 1874, 318, a4, 000001
quickSort, m127, t50, w2, 6808, 155, 86842, 94683, 683.7953, 0.9603, 1900, 56, a3, 100110
huffmanCoding, m314, t50, w2, 51685, 166, 101232, 155026, 322.3949, 0.9279, 1874, 318, a2, 101100
selectSort, m92, t50, w8, 2046, 146, 5960, 8229, 64.7826, 0.8804, 1900, 45, a2, 000011
huffmanCodingEff, m199, t50, w8, 10747, 20, 6040, 17813, 30.3518, 0.849, 1874, 239, a2, 111110
bubbleSort, m113, t50, w2, 3616, 165, 216334, 220721, 1914.4602, 0.9182, 1900, 41, a2, 111111
primes, m68, t100, w8, 3332, 295, 868, 4560, 12.7647, 0.75, 398, 30, a2, 000000
huffmanCoding, m314, t50, w4, 52438, 53, 34159, 87141, 108.7866, 0.9279, 1874, 318, a3, 101101
minProd, m181, t50, w8, 4426, 20, 5032, 9564, 27.8011, 0.7845, 1946, 72, a2, 100011
quickSort, m127, t50, w2, 6798, 162, 86853, 93923, 683.8819, 0.9528, 1900, 56, a4, 101011
bubbleSort, m113, t50, w4, 7319, 148, 75191, 83477, 665.4071, 0.8767, 1900, 41, a5, 001100
minProd, m181, t50, w4, 13284, 160, 5279, 18805, 29.1657, 0.7845, 1946, 72, a2, 001001
quickSort, m127, t50, w8, 13724, 149, 15006, 29458, 118.1575, 0.9603, 1900, 56, a2, 011100
longestIncrease, m114, t50, w4, 3210, 10221, 59230, 73385, 519.5614, 0.9196, 1946, 70, a4, 000110
huffmanCodingEff, m199, t50, w2, 28765, 167, 40551, 69634, 203.7739, 0.8191, 1874, 239, a2, 100001
longestIncrease, m114, t50, w2, 4855, 9560, 130496, 145506, 1144.7018, 0.9196, 1946, 70, a2, 011111
huffmanCodingEff, m199, t50, w4, 29268, 152, 13769, 43345, 69.191, 0.8191, 1874, 239, a2, 011001
genPassword, m49, t100, w2, 1467, 316, 5294, 7143, 108.0408, 0.8367, 398, 63, a5, 011010
insertSort, m108, t50, w4, 2352, 149, 12364, 15061, 114.4815, 0.9444, 1900, 40, a2, 011111
primes, m68, t100, w4, 3513, 99, 2388, 6052, 35.1176, 0.75, 398, 30, a4, 101000
selectSort, m92, t50, w2, 3058, 159, 40210, 43793, 437.0652, 0.9101, 1900, 45, a2, 010111
anagram, m60, t100, w4, 3221, 293, 6101, 9768, 101.6833, 0.9286, 1370, 37, a4, 010101
parg, m2509, t52, w8, 550402, 139, 809, 552847, 0.3224, 1.0, 418, 2518, a2, 000101
genPassword, m49, t100, w2, 3016, 313, 5514, 9215, 112.5306, 0.8367, 398, 63, a3, 011100
primes, m68, t100, w8, 3338, 37, 868, 4345, 12.7647, 0.8793, 398, 30, a2, 101101
genPassword, m49, t100, w8, 950, 262, 926, 2204, 18.898, 0.8367, 398, 63, a5, 010011
genPassword, m49, t100, w2, 1480, 319, 5697, 7558, 116.2653, 0.8367, 398, 63, a4, 110010
massive, m49, t60, w8, 1700, 114324, 114613, 230868, 2339.0408, 0.9388, 169, 13, a2, 001100
parg, m2509, t52, w8, 435861, 135, 819, 438551, 0.3264, 1.0, 418, 2518, a2, 010111
bubbleSort, m113, t50, w2, 3707, 163, 231301, 235251, 2046.9115, 0.8938, 1900, 41, a4, 001011
mergeSort, m226, t50, w2, 21911, 252, 68234, 91829, 301.9204, 0.9336, 1900, 129, a3, 001100
minProd, m181, t50, w8, 4433, 134, 5977, 10891, 33.0221, 0.8103, 1946, 72, a5, 000111
factorial, m31, t100, w4, 521, 298, 7383, 8327, 238.1613, 0.9565, 403, 18, a5, 011111
genPassword, m49, t100, w8, 2819, 38, 719, 3859, 14.6735, 0.7895, 398, 63, a5, 101100
genPassword, m49, t100, w2, 3020, 313, 5551, 9128, 113.2857, 0.8367, 398, 63, a2, 110101
dictionaryOrder, m71, t100, w2, 1910, 320, 33985, 36283, 478.662, 0.8873, 8248, 32, a3, 000010
huffmanCoding, m314, t50, w4, 53662, 52, 34119, 88017, 108.6592, 0.9013, 1874, 318, a3, 110001
primes, m68, t100, w8, 3377, 40, 872, 4380, 12.8235, 0.8793, 398, 30, a3, 111101
factorial, m31, t100, w2, 1595, 319, 19512, 21483, 629.4194, 0.9677, 403, 18, a2, 000001
longestIncrease, m114, t50, w4, 3205, 10238, 50159, 64007, 439.9912, 0.9196, 1946, 70, a2, 010111
massive, m49, t60, w8, 1677, 19170, 51582, 72481, 1052.6939, 1.0, 169, 13, a5, 111000
selectSort, m92, t50, w4, 6073, 52, 20138, 26435, 218.8913, 0.8804, 1900, 45, a4, 101101
minProd, m181, t50, w8, 4402, 142, 5034, 9655, 27.8122, 0.7845, 1946, 72, a3, 001010
minProd, m181, t50, w4, 13304, 158, 10479, 24017, 57.895, 0.7845, 1946, 72, a4, 010001
primes, m68, t100, w8, 1125, 260, 876, 2595, 12.8824, 0.8793, 398, 30, a4, 000110
huffmanCoding, m314, t50, w2, 52311, 160, 100318, 153861, 319.4841, 0.9013, 1874, 318, a4, 001101
mergeSort, m226, t50, w4, 20144, 49, 66539, 86826, 294.4204, 0.9336, 1900, 129, a4, 110001
huffmanCodingEff, m199, t50, w4, 31849, 48, 13756, 45809, 69.1256, 0.8191, 1874, 239, a5, 111000
quickSort, m127, t50, w4, 13413, 51, 77086, 90661, 606.9764, 0.9528, 1900, 56, a4, 100001
quickSort, m127, t50, w8, 13785, 20, 15007, 29387, 118.1654, 0.9603, 1900, 56, a3, 100100
parg, m2509, t52, w4, 531047, 173, 2623, 534451, 1.0454, 1.0, 418, 2518, a4, 001001
add, m12, t100, w8, 158, 275, 240, 748, 20, 0.9, 583, 13, a5, 011111
huffmanCodingEff, m199, t50, w2, 15290, 159, 40601, 56209, 204.0251, 0.8191, 1874, 239, a4, 111011
huffmanCodingEff, m199, t50, w4, 9855, 148, 13885, 24050, 69.7739, 0.8191, 1874, 239, a3, 010011
mergeSort, m226, t50, w2, 20266, 157, 68203, 88719, 301.7832, 0.9336, 1900, 129, a5, 000000
squareMatrix, m182, t50, w2, 6994, 156, 68911, 76141, 378.6319, 1.0, 903, 72, a5, 110010
longestIncrease, m114, t50, w2, 9725, 9503, 132444, 151765, 1161.7895, 0.9035, 1946, 70, a5, 111001
quickSort, m127, t50, w8, 14550, 20, 15006, 29698, 118.1575, 0.9528, 1900, 56, a2, 100001
add, m12, t100, w2, 607, 317, 359, 1340, 29.9167, 0.9167, 583, 13, a5, 010000
mergeSort, m226, t50, w8, 20967, 113, 10561, 31731, 46.7301, 0.9336, 1900, 129, a3, 011000
primes, m68, t100, w8, 3420, 36, 874, 4429, 12.8529, 0.8793, 398, 30, a3, 110101
squareMatrix, m182, t50, w4, 14122, 47, 23068, 37321, 126.7473, 1.0, 903, 72, a5, 101001
anagram, m60, t100, w8, 1005, 42, 5228, 6337, 87.1333, 0.8667, 1370, 37, a3, 111011
anagram, m60, t100, w8, 1020, 290, 5269, 6678, 87.8167, 0.8857, 1370, 37, a5, 000111
minProd, m181, t50, w2, 14501, 165, 15862, 31576, 87.6354, 0.8659, 1946, 72, a3, 100100
selectSort, m92, t50, w4, 6100, 52, 15009, 21328, 163.1413, 0.9101, 1900, 45, a2, 110101
transpose, m149, t50, w4, 11932, 145, 20729, 33735, 139.1208, 0.9054, 903, 40, a3, 001100
genPassword, m49, t100, w8, 2878, 39, 864, 3850, 17.6327, 0.8367, 398, 63, a4, 101000
anagram, m60, t100, w8, 3057, 36, 5002, 8189, 83.3667, 0.9286, 1370, 37, a2, 111101
huffmanCoding, m314, t50, w4, 18208, 153, 34152, 52699, 108.7643, 0.9013, 1874, 318, a5, 011011
transpose, m149, t50, w8, 12070, 21, 20011, 32283, 134.302, 0.8993, 903, 40, a4, 111101
maxArrSumNeg, m112, t50, w2, 7511, 159, 69127, 77156, 617.2054, 0.9358, 1910, 63, a2, 111101
huffmanCodingEff, m199, t50, w4, 30269, 154, 13798, 44599, 69.3367, 0.849, 1874, 239, a3, 001101
maxArrSumNeg, m112, t50, w4, 7775, 49, 11435, 19955, 102.0982, 0.9103, 1910, 63, a5, 110100
mergeSort, m226, t50, w8, 6990, 130, 10562, 18764, 46.7345, 0.9336, 1900, 129, a2, 011110
maxArrSumNeg, m112, t50, w8, 2692, 22, 13321, 16554, 118.9375, 0.9103, 1910, 63, a5, 100110
genPassword, m49, t100, w4, 979, 294, 2050, 3384, 41.8367, 0.8367, 398, 63, a5, 001011
selectSort, m92, t50, w4, 6100, 49, 15008, 21226, 163.1304, 0.8804, 1900, 45, a2, 111001
longestIncrease, m114, t50, w2, 9675, 9482, 128914, 148432, 1130.8246, 0.9035, 1946, 70, a4, 001101
selectSort, m92, t50, w2, 3027, 161, 40041, 43802, 435.2283, 0.9101, 1900, 45, a3, 111110
bubbleSort, m113, t50, w2, 7441, 160, 220048, 227723, 1947.3274, 0.8938, 1900, 41, a4, 101000
huffmanCodingEff, m199, t50, w4, 29438, 161, 14226, 43981, 71.4874, 0.8191, 1874, 239, a5, 010001
mergeSort, m226, t50, w4, 20274, 153, 22817, 43337, 100.9602, 0.9336, 1900, 129, a3, 001000
transpose, m149, t50, w2, 5753, 157, 62440, 68433, 419.0604, 0.8993, 903, 40, a3, 001011
minProd, m181, t50, w4, 13051, 50, 5293, 18473, 29.2431, 0.7845, 1946, 72, a2, 110001
selectSort, m92, t50, w2, 3021, 160, 40284, 43535, 437.8696, 0.8804, 1900, 45, a3, 010010
quickSort, m127, t50, w4, 4519, 149, 31030, 36043, 244.3307, 0.9603, 1900, 56, a2, 001111
dictionaryOrder, m71, t100, w4, 1170, 296, 11768, 13303, 165.7465, 0.8873, 8248, 32, a3, 001010
transpose, m149, t50, w2, 5808, 159, 62317, 68376, 418.2349, 0.8993, 903, 40, a2, 011010
huffmanCoding, m314, t50, w2, 52415, 159, 101010, 154627, 321.6879, 0.9279, 1874, 318, a4, 000101
longestIncrease, m114, t50, w2, 4860, 9565, 101445, 116505, 889.8684, 0.8889, 1946, 70, a5, 000111
insertSort, m108, t50, w2, 3603, 158, 36809, 41186, 340.8241, 0.9444, 1900, 40, a2, 011110
selectSort, m92, t50, w2, 3123, 163, 40281, 43995, 437.837, 0.9101, 1900, 45, a2, 000111
mergeSort, m226, t50, w2, 10257, 162, 68498, 79635, 303.0885, 0.9336, 1900, 129, a4, 000111
transpose, m149, t50, w4, 3788, 154, 20720, 25173, 139.0604, 0.9054, 903, 40, a2, 000111
mergeSort, m226, t50, w2, 21395, 160, 49886, 72128, 220.7345, 0.908, 1900, 129, a5, 111101
anagram, m60, t100, w2, 3189, 311, 8079, 11634, 134.65, 0.8667, 1370, 37, a2, 010001
huffmanCoding, m314, t50, w8, 18837, 147, 15352, 35368, 48.8917, 0.9279, 1874, 318, a3, 010111
quickSort, m127, t50, w4, 4518, 49, 27936, 32614, 219.9685, 0.9528, 1900, 56, a3, 101011
selectSort, m92, t50, w8, 2008, 21, 10004, 12439, 108.7391, 0.8769, 1900, 45, a5, 110110
bubbleSort, m113, t50, w2, 3685, 161, 215333, 219249, 1905.6018, 0.8938, 1900, 41, a2, 011010
parg, m2509, t52, w8, 558471, 21, 807, 570653, 0.3216, 1.0, 418, 2518, a5, 100100
genPassword, m49, t100, w4, 1029, 99, 2286, 3557, 46.6531, 0.8367, 398, 63, a4, 111111
squareMatrix, m182, t50, w4, 4766, 146, 23371, 29342, 128.4121, 1.0, 903, 72, a3, 010110
mergeSort, m226, t50, w2, 10171, 163, 68087, 79147, 301.2699, 0.9336, 1900, 129, a3, 101111
bubbleSort, m113, t50, w8, 7346, 150, 75741, 83303, 670.2743, 0.8938, 1900, 41, a3, 011001
parg, m2509, t52, w2, 430601, 175, 8648, 456507, 3.4468, 1.0, 418, 2518, a5, 110110
huffmanCodingEff, m199, t50, w8, 10203, 21, 5997, 16380, 30.1357, 0.8191, 1874, 239, a2, 100011
huffmanCoding, m314, t50, w8, 57914, 18, 15902, 75302, 50.6433, 0.9027, 1874, 318, a5, 100100
add, m12, t100, w4, 163, 292, 110, 621, 9.1667, 0.9167, 583, 13, a4, 001010
primes, m68, t100, w4, 1162, 98, 2561, 3976, 37.6618, 0.8793, 398, 30, a4, 110111
squareMatrix, m182, t50, w4, 14254, 48, 23130, 37704, 127.0879, 1.0, 903, 72, a3, 111101
selectSort, m92, t50, w4, 6182, 154, 17720, 24129, 192.6087, 0.8804, 1900, 45, a4, 001001
dictionaryOrder, m71, t100, w4, 3555, 295, 11693, 16057, 164.6901, 0.9265, 8248, 32, a3, 010100
maxArrSumNeg, m112, t50, w2, 7721, 164, 50175, 58447, 447.9911, 0.9079, 1910, 63, a5, 110101
add, m12, t100, w2, 293, 317, 398, 1063, 33.1667, 0.9167, 583, 13, a3, 110010
longestIncrease, m114, t50, w2, 4903, 9822, 135649, 151082, 1189.9035, 0.9035, 1946, 70, a4, 101110
longestIncrease, m114, t50, w8, 10005, 10343, 29962, 50462, 262.8246, 0.9196, 1946, 70, a4, 000101
maxArrSumNeg, m112, t50, w8, 2664, 145, 11030, 14334, 98.4821, 0.9358, 1910, 63, a2, 010110
huffmanCoding, m314, t50, w4, 52907, 50, 34200, 87331, 108.9172, 0.9013, 1874, 318, a4, 101000
parg, m2509, t52, w2, 546143, 161, 8463, 555635, 3.3731, 1.0, 418, 2518, a4, 001000
massive, m49, t60, w8, 1727, 115176, 116976, 233941, 2387.2653, 0.9388, 169, 13, a5, 001000
mergeSort, m226, t50, w8, 6926, 20, 10544, 17588, 46.6549, 0.9336, 1900, 129, a3, 110011
selectSort, m92, t50, w2, 3089, 161, 40195, 44017, 436.9022, 0.9101, 1900, 45, a2, 100110
primes, m68, t100, w4, 3572, 296, 2389, 6309, 35.1324, 0.75, 398, 30, a4, 001000
massive, m49, t60, w2, 1934, 113351, 352086, 467537, 7185.4286, 0.9388, 169, 13, a4, 110101
minProd, m181, t50, w4, 13292, 47, 10062, 23481, 55.5912, 0.7845, 1946, 72, a5, 111000
selectSort, m92, t50, w4, 1972, 50, 15007, 17592, 163.1196, 0.8769, 1900, 45, a5, 110110
massive, m49, t60, w8, 616, 19144, 71207, 91015, 1453.2041, 0.9388, 169, 13, a4, 101010
minProd, m181, t50, w8, 13451, 125, 5957, 19699, 32.9116, 0.8103, 1946, 72, a5, 000101
bubbleSort, m113, t50, w2, 7242, 158, 212366, 220244, 1879.3451, 0.9182, 1900, 41, a3, 000101
transpose, m149, t50, w2, 5745, 161, 61994, 68781, 416.0671, 0.9054, 903, 40, a3, 101111
quickSort, m127, t50, w2, 6821, 162, 86861, 93964, 683.9449, 0.9528, 1900, 56, a3, 010011
massive, m49, t60, w8, 648, 19174, 114258, 134133, 2331.7959, 0.9388, 169, 13, a2, 111010
longestIncrease, m114, t50, w8, 3208, 2307, 25007, 30616, 219.3596, 0.9035, 1946, 70, a4, 111011
bubbleSort, m113, t50, w4, 7462, 148, 77532, 85376, 686.1239, 0.9182, 1900, 41, a3, 001101
add, m12, t100, w2, 613, 327, 357, 1427, 29.75, 0.9, 583, 13, a5, 110100
mergeSort, m226, t50, w2, 10217, 161, 68226, 79301, 301.885, 0.9336, 1900, 129, a2, 110111
transpose, m149, t50, w2, 5809, 162, 61972, 68866, 415.9195, 0.9054, 903, 40, a3, 011110
genPassword, m49, t100, w4, 2996, 102, 2034, 5271, 41.5102, 0.8367, 398, 63, a3, 110101
add, m12, t100, w2, 621, 310, 360, 1395, 30, 0.9167, 583, 13, a2, 111101
huffmanCoding, m314, t50, w2, 51632, 158, 100677, 152636, 320.6274, 0.9013, 1874, 318, a3, 000000
factorial, m31, t100, w4, 1592, 100, 7041, 8796, 227.129, 0.9677, 403, 18, a3, 111000
longestIncrease, m114, t50, w2, 9795, 9460, 128875, 148567, 1130.4825, 0.9196, 1946, 70, a2, 001101
parg, m2509, t52, w2, 439003, 172, 8567, 462003, 3.4145, 1.0, 418, 2518, a5, 000110
parg, m2509, t52, w4, 534033, 57, 102260, 636979, 40.7573, 1.0, 418, 2518, a5, 111001
quickSort, m127, t50, w8, 4603, 21, 16022, 20766, 126.1575, 0.9528, 1900, 56, a5, 111010
huffmanCoding, m314, t50, w8, 18348, 20, 15277, 34619, 48.6529, 0.9279, 1874, 318, a2, 111111
insertSort, m108, t50, w4, 2333, 54, 12338, 15379, 114.2407, 0.9444, 1900, 40, a3, 110110
genPassword, m49, t100, w8, 966, 39, 950, 2018, 19.3878, 0.8367, 398, 63, a3, 100010
massive, m49, t60, w4, 657, 114274, 124358, 239340, 2537.9184, 0.9388, 169, 13, a2, 000010
quickSort, m127, t50, w2, 13301, 161, 86890, 100877, 684.1732, 0.9528, 1900, 56, a4, 001101
quickSort, m127, t50, w4, 4551, 139, 33112, 37919, 260.7244, 0.9528, 1900, 56, a5, 000011
factorial, m31, t100, w2, 780, 310, 19526, 20680, 629.871, 0.9677, 403, 18, a3, 011011
mergeSort, m226, t50, w2, 20499, 162, 68284, 89036, 302.1416, 0.9336, 1900, 129, a4, 010001
huffmanCoding, m314, t50, w8, 58542, 143, 23950, 82819, 76.2739, 0.9013, 1874, 318, a5, 010001
huffmanCoding, m314, t50, w4, 17902, 47, 34291, 52416, 109.207, 0.9013, 1874, 318, a3, 101010
primes, m68, t100, w4, 3566, 99, 2524, 6646, 37.1176, 0.8793, 398, 30, a2, 111100
anagram, m60, t100, w4, 1038, 301, 5003, 6721, 83.3833, 0.9286, 1370, 37, a2, 010110
massive, m49, t60, w2, 1917, 113394, 168076, 283437, 3430.1224, 1.0, 169, 13, a5, 011001
dictionaryOrder, m71, t100, w4, 1137, 99, 13968, 15268, 196.7324, 0.8873, 8248, 32, a5, 111011
huffmanCoding, m314, t50, w4, 53626, 50, 24454, 78630, 77.879, 0.9013, 1874, 318, a5, 101101
